code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
300278,华昌达,专用机械,湖北,68.21,22365.09,54504.33,350982.81,218191.91,25153.75,69120.78,1.27,0.067,2.79,6.58,20111216
300162,雷曼股份,元器件,深圳,200.98,21808.91,34978.71,125066.22,67878.17,21538.07,62311.76,1.78,0.029,3.07,7.52,20110113
300416,苏试试验,电器仪表,江苏,0.0,6092.0,12560.0,59375.53,36361.01,18758.75,20294.38,1.62,-0.003,3.54,10.35,20150122
000530,大冷股份,机械基件,辽宁,71.5,32768.37,59889.25,409923.53,145853.27,44025.03,63243.67,1.06,0.043,4.75,2.56,19931208
300119,瑞普生物,生物制药,天津,71.03,20303.66,38914.62,236881.45,89403.55,60794.9,73777.34,1.9,0.061,4.19,4.15,20100917
600120,浙江东方,商贸代理,浙江,24.89,50547.33,50547.33,1178707.13,527297.69,42006.4,4275.71,0.08,0.28,11.74,2.37,19971201
600729,重庆百货,百货,重庆,8.47,37231.14,40652.85,1339072.38,893390.0,255276.45,41376.93,1.02,0.786,11.47,2.32,19960702
002370,亚太药业,化学制药,浙江,66.93,20361.97,20400.0,195408.94,74808.21,26871.93,34231.51,1.68,0.119,3.96,8.02,20100316
002719,麦趣尔,乳制品,新疆,256.56,3380.14,10883.71,140735.77,88363.65,23011.02,74161.07,6.81,0.054,10.38,5.38,20140128
300512,中亚股份,专用机械,浙江,114.32,3375.0,13500.0,106108.11,76234.4,10713.5,6998.47,0.52,0.235,5.33,20.13,20160526
300511,雪榕生物,种植业,上海,55.46,3750.0,15000.0,178832.17,30714.94,107691.11,9749.66,0.65,0.348,6.11,12.64,20160504
600068,葛洲坝,建筑施工,湖北,11.36,414857.63,460477.75,12858866.0,7949247.0,1166891.75,751917.69,1.63,0.14,4.49,1.42,19970526
601727,上海电气,电气设备,上海,55.05,985139.5,1282430.75,15823443.0,12567822.0,1054939.5,553091.88,0.43,0.037,2.93,2.75,20081205
002103,广博股份,文教休闲,浙江,217.57,26256.3,45767.75,199418.38,71185.18,29300.76,96027.86,2.1,0.027,3.57,6.53,20070110
300487,蓝晓科技,化工原料,陕西,140.86,3295.94,8095.75,80181.43,56087.51,4744.41,38288.28,4.73,0.111,8.61,7.26,20150702
600543,莫高股份,红黄药酒,甘肃,72.03,32112.0,32112.0,127815.13,65073.17,28808.05,46593.48,1.45,0.051,3.43,4.24,20040324
000688,建新矿业,铅锌,重庆,241.21,113721.43,113729.92,185369.69,53523.48,69809.18,18883.17,0.17,0.009,1.32,6.48,19970120
000601,韶能股份,火力发电,广东,18.38,107980.84,108055.15,862862.63,129602.88,681306.69,158531.94,1.47,0.149,3.8,2.88,19960830
002388,新亚制程,元器件,深圳,2181.6,36402.3,39960.0,84374.68,39418.96,7023.06,7981.25,0.2,0.001,1.42,8.8,20100413
002779,中坚科技,农用机械,浙江,159.04,3300.0,13200.0,76969.32,59517.51,0.0,23937.85,1.81,0.073,4.54,10.21,20151209
601989,中国重工,船舶,北京,152.28,1795785.5,1836166.5,18908102.0,13523789.0,3532350.5,2418281.5,1.32,0.012,3.1,2.26,20091216
